alpha		ridge		lasso		elastic-net

0.010		28.8886		4.7091		4.7099

0.020		16.2765		4.7095		4.7091

0.030		11.7676		4.7096		4.7093

0.040		9.5467		4.7094		4.7094

0.050		8.2726		4.7091		4.7094

0.060		7.4714		4.7088		4.7094

0.070		6.9348		4.7085		4.7094

0.080		6.5579		4.7083		4.7093

0.090		6.2832		4.7081		4.7091

0.100		6.0768		4.7079		4.7090

0.110		5.9175		4.7078		4.7088

0.120		5.7919		4.7077		4.7086

0.130		5.6910		4.7076		4.7085

0.140		5.6084		4.7075		4.7084

0.150		5.5399		4.7074		4.7082

0.160		5.4823		4.7073		4.7081

0.170		5.4333		4.7072		4.7081

0.180		5.3911		4.7071		4.7080

0.190		5.3544		4.7071		4.7079

0.200		5.3222		4.7070		4.7078

0.210		5.2937		4.7070		4.7078

0.220		5.2684		4.7069		4.7077

0.230		5.2456		4.7069		4.7077

0.240		5.2251		4.7069		4.7076

0.250		5.2065		4.7069		4.7076

0.260		5.1895		4.7069		4.7075

0.270		5.1738		4.7070		4.7075

0.280		5.1595		4.7070		4.7075

0.290		5.1461		4.7071		4.7074

0.300		5.1338		4.7072		4.7074

0.310		5.1223		4.7073		4.7074

0.320		5.1115		4.7074		4.7074

0.330		5.1014		4.7075		4.7073

0.340		5.0918		4.7077		4.7073

0.350		5.0829		4.7078		4.7073

0.360		5.0744		4.7080		4.7073

0.370		5.0663		4.7082		4.7073

0.380		5.0587		4.7084		4.7072

0.390		5.0514		4.7086		4.7072

0.400		5.0445		4.7088		4.7072

0.410		5.0379		4.7091		4.7072

0.420		5.0316		4.7093		4.7072

0.430		5.0255		4.7095		4.7073

0.440		5.0197		4.7098		4.7073

0.450		5.0141		4.7100		4.7073

0.460		5.0087		4.7103		4.7073

0.470		5.0036		4.7105		4.7073

0.480		4.9986		4.7108		4.7074

0.490		4.9938		4.7111		4.7074

0.500		4.9892		4.7113		4.7075

0.510		4.9847		4.7116		4.7075

0.520		4.9803		4.7119		4.7076

0.530		4.9761		4.7122		4.7076

0.540		4.9721		4.7125		4.7077

0.550		4.9681		4.7128		4.7078

0.560		4.9643		4.7131		4.7078

0.570		4.9606		4.7134		4.7079

0.580		4.9570		4.7137		4.7080

0.590		4.9535		4.7141		4.7081

0.600		4.9501		4.7144		4.7082

0.610		4.9468		4.7148		4.7082

0.620		4.9436		4.7152		4.7083

0.630		4.9405		4.7156		4.7084

0.640		4.9374		4.7160		4.7085

0.650		4.9344		4.7164		4.7087

0.660		4.9315		4.7168		4.7088

0.670		4.9287		4.7172		4.7089

0.680		4.9260		4.7177		4.7090

0.690		4.9233		4.7181		4.7092

0.700		4.9206		4.7186		4.7093

0.710		4.9181		4.7191		4.7094

0.720		4.9156		4.7196		4.7096

0.730		4.9131		4.7201		4.7097

0.740		4.9107		4.7206		4.7099

0.750		4.9084		4.7211		4.7100

0.760		4.9061		4.7216		4.7102

0.770		4.9039		4.7221		4.7103

0.780		4.9017		4.7227		4.7105

0.790		4.8995		4.7232		4.7107

0.800		4.8974		4.7237		4.7109

0.810		4.8954		4.7242		4.7110

0.820		4.8934		4.7248		4.7112

0.830		4.8914		4.7254		4.7114

0.840		4.8895		4.7259		4.7116

0.850		4.8876		4.7265		4.7118

0.860		4.8857		4.7271		4.7120

0.870		4.8839		4.7277		4.7122

0.880		4.8821		4.7283		4.7124

0.890		4.8804		4.7290		4.7126

0.900		4.8787		4.7296		4.7128

0.910		4.8770		4.7302		4.7130

0.920		4.8754		4.7309		4.7132

0.930		4.8737		4.7316		4.7134

0.940		4.8722		4.7322		4.7136

0.950		4.8706		4.7329		4.7138

0.960		4.8691		4.7336		4.7140

0.970		4.8676		4.7343		4.7142

0.980		4.8661		4.7350		4.7145

0.990		4.8647		4.7356		4.7147

1.000		4.8632		4.7363		4.7149
